year,state,blood_type,donations
2022,Sabah,o,16986
2022,Sarawak,a,9565
2022,Sarawak,ab,2526
2022,Sarawak,b,11388
2022,Sarawak,o,16648
2022,Selangor,a,7213
2022,Selangor,ab,1665
2022,Selangor,b,7843
2022,Selangor,o,12590
2022,Terengganu,a,4466
2022,Terengganu,ab,1251
2022,Terengganu,b,5081
2022,Terengganu,o,7428
2022,W.P. Kuala Lumpur,a,50271
2022,W.P. Kuala Lumpur,ab,10614
2022,W.P. Kuala Lumpur,b,54975
2022,W.P. Kuala Lumpur,o,86536
2023,Johor,a,10622
2023,Johor,ab,2296
2023,Johor,b,11663
2023,Johor,o,19124
2023,Kedah,a,5420
2023,Kedah,ab,1345
2023,Kedah,b,6044
2023,Kedah,o,8754
2023,Kelantan,a,4424
2023,Kelantan,ab,1109
2023,Kelantan,b,4544
2023,Kelantan,o,6639
2023,Melaka,a,7280
2023,Melaka,ab,1755
2023,Melaka,b,7532
2023,Melaka,o,11877
2023,Negeri Sembilan,a,4052
2023,Negeri Sembilan,ab,857
2023,Negeri Sembilan,b,4378
2023,Negeri Sembilan,o,7130
2023,Pahang,a,5801
2023,Pahang,ab,1342
2023,Pahang,b,6395
2023,Pahang,o,9263
2023,Perak,a,11565
2023,Perak,ab,2789
2023,Perak,b,12962
2023,Perak,o,19601
2023,Pulau Pinang,a,10235
2023,Pulau Pinang,ab,2597
2023,Pulau Pinang,b,11319
2023,Pulau Pinang,o,17482
2023,Sabah,a,9049
2023,Sabah,ab,1996
2023,Sabah,b,9715
2023,Sabah,o,19064
2023,Sarawak,a,9984
2023,Sarawak,ab,2499
2023,Sarawak,b,11922
2023,Sarawak,o,17188
2023,Selangor,a,7473
2023,Selangor,ab,1557
2023,Selangor,b,8290
2023,Selangor,o,12810
2023,Terengganu,a,4687
2023,Terengganu,ab,1398
2023,Terengganu,b,5380
2023,Terengganu,o,7892
2023,W.P. Kuala Lumpur,a,51695
2023,W.P. Kuala Lumpur,ab,10513
2023,W.P. Kuala Lumpur,b,56008
2023,W.P. Kuala Lumpur,o,88057
2019,Malaysia,a,139395
2019,Malaysia,ab,33789
2019,Malaysia,b,151429
2019,Malaysia,o,236151
2020,Malaysia,a,122951
2020,Malaysia,ab,29408
2020,Malaysia,b,134323
2020,Malaysia,o,210895
2021,Malaysia,a,121952
2021,Malaysia,ab,28767
2021,Malaysia,b,135853
2021,Malaysia,o,213177
2022,Malaysia,a,138190
2022,Malaysia,ab,31539
2022,Malaysia,b,151370
2022,Malaysia,o,238702
2023,Malaysia,a,142287
2023,Malaysia,ab,32053
2023,Malaysia,b,156152
2023,Malaysia,o,244881
